customer_id,age,annual_income,purchase_frequency,avg_order_value,days_since_last_purchase,cluster,segment,pc1,pc2
77,61,32161,10,234,231,1,At-risk big spenders,0.39601299052740735,-1.0456733808847736
78,51,117532,12,196,84,0,Active seniors,-0.2595339968567857,1.2773321913774613
79,27,112658,2,28,130,3,Young occasional buyers,-1.3401081040230782,2.4425087352344272
80,53,47350,13,118,231,2,Frequent mid-spenders,-0.5459706816814583,-0.8887572616102751
81,31,113008,8,39,326,2,Frequent mid-spenders,-0.8644029590740788,0.9910827403758973
82,48,114297,2,397,145,1,At-risk big spenders,1.3080432105410773,1.9302974899817302
83,65,45351,1,260,345,1,At-risk big spenders,1.5300269693051984,-0.19419925125657023
84,32,108668,5,80,28,3,Young occasional buyers,-1.3753801011327538,2.312920306286207
85,25,35305,9,398,66,3,Young occasional buyers,-0.4990595471173854,-0.22376024961801658
86,31,95353,17,438,163,2,Frequent mid-spenders,0.09904727129309113,-0.2384102677205102
87,40,96797,9,197,229,2,Frequent mid-spenders,-0.1721882399194285,0.668309572803279
88,57,85953,11,357,261,1,At-risk big spenders,1.1751427342965577,-0.1785375947003678
89,38,77458,15,81,164,2,Frequent mid-spenders,-1.4172846120108524,-0.07726616420141827
90,33,40358,6,164,301,3,Young occasional buyers,-0.5067342494505123,-0.44910677028339235
91,62,23267,3,235,303,1,At-risk big spenders,0.9606039885947797,-0.717805314289464
92,35,102745,17,22,287,2,Frequent mid-spenders,-1.4296928780464742,-0.12809459586884395
93,64,109588,5,179,10,0,Active seniors,0.21852205688705792,2.1328765678257633
94,41,58513,12,246,195,2,Frequent mid-spenders,-0.33730126262297133,-0.4599754994363405
95,43,46092,18,288,118,0,Active seniors,-0.6508877073500025,-1.1907720958546062
96,42,31338,14,139,270,2,Frequent mid-spenders,-0.8518217063185667,-1.4732997268418795
97,62,20412,11,400,80,0,Active seniors,0.7036962608797385,-1.0323607876631613
98,58,27543,9,108,93,0,Active seniors,-0.7214885301268218,-0.3678390933123248
99,46,53496,2,348,266,1,At-risk big spenders,1.0438373952509297,0.17713076351512452
100,32,80692,12,87,332,2,Frequent mid-spenders,-0.9368560518975352,-0.26825002517305424
101,62,109084,3,417,350,1,At-risk big spenders,2.440022675082509,0.8338604103582751
102,18,112920,3,376,361,1,At-risk big spenders,0.7082025186826134,1.1482553634367685
103,42,64425,1,117,257,3,Young occasional buyers,-0.1736306211765222,0.8310739734199536
104,24,58756,8,286,133,3,Young occasional buyers,-0.7269237327857736,0.28458530820234973
105,26,38888,8,124,276,3,Young occasional buyers,-1.1405293326798747,-0.5397393250350387
106,41,55735,11,459,264,1,At-risk big spenders,0.9669040081767406,-0.8885730211836298
107,18,67295,9,342,171,3,Young occasional buyers,-0.5580486653084399,0.19025464296751252
108,61,103042,5,142,1,0,Active seniors,-0.13340429024129558,2.0744593049743987
109,25,105999,14,495,313,2,Frequent mid-spenders,0.8180699129316007,-0.24901111226679148
110,41,37955,3,48,64,3,Young occasional buyers,-1.3598889344234206,0.8134495544051343
111,28,57841,5,156,284,3,Young occasional buyers,-0.6376694697450459,0.15465496060784953
112,68,90640,5,214,121,0,Active seniors,0.7699461837920007,1.2343612332949987
113,34,85510,19,428,107,0,Active seniors,-0.16001625864195404,-0.48233964453830996
114,25,54911,14,245,175,2,Frequent mid-spenders,-1.0953390064564057,-0.6111278637426962
115,52,79031,4,351,204,1,At-risk big spenders,1.1175976955339062,0.7174366301761915
116,52,108726,13,189,165,0,Active seniors,-0.11393646979554409,0.6627865879082928
117,50,27357,10,28,305,2,Frequent mid-spenders,-0.8321626588517161,-1.1605520396023319
118,22,52479,18,482,120,2,Frequent mid-spenders,-0.39809296431044255,-1.1487955155639602
119,59,81476,8,59,44,0,Active seniors,-0.7530395006262446,1.1826773946967726
120,56,64811,8,44,312,2,Frequent mid-spenders,-0.22624544309319505,-0.16779442905161895
121,58,56208,7,280,156,0,Active seniors,0.5693016671978574,0.08638047153621106
122,45,40150,8,414,207,1,At-risk big spenders,0.7910064251529269,-0.6515725607235676
123,24,91180,14,462,108,3,Young occasional buyers,-0.0638426657032966,0.23119872657278984
124,26,63286,19,245,251,2,Frequent mid-spenders,-1.0462104057284765,-1.2895513598725608
125,25,88450,6,491,334,1,At-risk big spenders,1.1780867372446993,0.20268162364047787
126,29,41352,1,143,130,3,Young occasional buyers,-1.002367515702339,0.8337710589089566
127,51,75069,15,482,293,1,At-risk big spenders,1.4206326533992635,-1.100689506569321
128,50,34397,1,57,20,3,Young occasional buyers,-1.038577087068225,1.0734298472634378
129,65,61555,17,347,282,2,Frequent mid-spenders,1.0470935777213137,-1.5229486025882573
130,40,66959,1,270,285,1,At-risk big spenders,0.613925035432699,0.6334723283259089
131,41,20728,15,408,1,0,Active seniors,-0.44529157474765046,-1.0870087264579158
132,54,70517,2,195,119,3,Young occasional buyers,0.21780880471706573,1.2288419552118772
133,52,86234,14,109,35,0,Active seniors,-1.0619700057638002,0.6179705190858866
134,61,59954,8,421,198,1,At-risk big spenders,1.4731603570247926,-0.26506474557930465
135,57,67280,8,473,245,1,At-risk big spenders,1.7651436559184364,-0.31171966797992695
136,39,99459,19,56,59,0,Active seniors,-1.9093074005987503,0.37123603656712734
137,44,36779,7,335,325,1,At-risk big spenders,0.7438315124757127,-0.9690391215852612
138,52,83932,19,195,161,0,Active seniors,-0.525200993392207,-0.571629389061662
139,18,92936,6,480,179,3,Young occasional buyers,0.4357972688485203,0.934204112260195
140,52,44466,6,303,206,1,At-risk big spenders,0.6084478273433387,-0.24237246712941457
141,54,56939,3,472,12,0,Active seniors,1.1646885555618345,0.9253132978372215
142,64,89896,7,480,276,1,At-risk big spenders,2.3076198128259806,0.14839052340518855
143,31,55270,19,100,181,2,Frequent mid-spenders,-1.8380655079686876,-1.0801491027094186
144,20,79163,8,133,242,3,Young occasional buyers,-1.2088821736271471,0.5100535355189872
145,18,102637,10,59,216,3,Young occasional buyers,-1.7103904767849316,0.9901855558488676
146,22,71934,15,320,251,2,Frequent mid-spenders,-0.5688026853842905,-0.6942029306295585
147,43,84895,15,243,299,2,Frequent mid-spenders,0.007761175862439264,-0.6137331072015486
148,31,52307,1,337,126,3,Young occasional buyers,0.0810567971698307,0.8815438836596886
149,56,74098,7,368,217,1,At-risk big spenders,1.207350686929723,0.17532418042416098
150,44,80921,4,134,306,1,At-risk big spenders,0.05873240249527476,0.6426666923346237
151,26,25486,6,205,285,3,Young occasional buyers,-0.6754836683415011,-0.7277006241401258
152,32,28335,1,342,185,3,Young occasional buyers,0.19588885397165537,0.11325864786780274
153,32,106900,5,75,39,3,Young occasional buyers,-1.3766785329804443,2.237187981817868
154,43,109112,1,59,223,3,Young occasional buyers,-0.3030063015895589,2.012977773447883
155,59,117203,4,373,184,1,At-risk big spenders,1.6115181174383435,1.5867941098548786
156,30,31130,2,59,178,3,Young occasional buyers,-1.345914025923035,0.39192818899372905
157,68,107508,10,366,294,1,At-risk big spenders,1.8717299863441978,0.22757284060948793
158,49,80566,5,480,340,1,At-risk big spenders,2.0133183131514474,0.006124183733334033
159,56,86703,10,256,151,0,Active seniors,0.36408766255559544,0.4774943713301553
160,66,47192,1,308,126,1,At-risk big spenders,1.1666057919047323,0.6164755887988548
161,69,21062,6,281,301,1,At-risk big spenders,1.2721058187351189,-1.188138898758996
162,49,104076,13,235,308,2,Frequent mid-spenders,0.4078462978528377,-0.011930788675892255
163,21,109780,15,166,336,2,Frequent mid-spenders,-0.9313664421393051,-0.003083216202214038
164,47,41545,4,355,234,1,At-risk big spenders,0.8582803070441929,-0.2116250394882407
165,54,41689,13,187,8,0,Active seniors,-0.8541598667321252,-0.2525277113830103
166,40,31174,15,111,341,2,Frequent mid-spenders,-0.9048156463452611,-1.8196990353196771
167,56,108461,8,372,129,0,Active seniors,1.0890216745354364,1.1556555556743708
168,62,29348,5,78,264,1,At-risk big spenders,-0.00943057070546323,-0.5014499589271244
169,32,43714,15,78,157,2,Frequent mid-spenders,-1.8381068165519807,-0.7709266681246512
170,60,58102,4,323,352,1,At-risk big spenders,1.5976407923313811,-0.31982026543310327
171,46,94460,12,188,358,2,Frequent mid-spenders,0.21594338129741583,-0.23586664779109406
172,53,109930,13,288,5,0,Active seniors,-0.05137379666799448,1.1840185320658636
173,30,26801,2,382,86,3,Young occasional buyers,-0.02771710919676847,0.30563176076027904
174,49,92267,19,64,175,2,Frequent mid-spenders,-1.2033759218603701,-0.2862990545507096
175,24,68136,19,364,290,2,Frequent mid-spenders,-0.38415645646051744,-1.4414470059707367
176,68,43625,4,200,193,1,At-risk big spenders,0.7273370645597966,0.04191518800486584
177,39,102873,4,189,311,1,At-risk big spenders,0.27909901408013493,1.0830878189809416
178,45,92592,11,375,119,0,Active seniors,0.4474834748743714,0.5478335745250066
179,19,97052,5,210,218,3,Young occasional buyers,-0.6891270756822246,1.2698623185783415
180,59,64261,11,174,114,0,Active seniors,-0.21076748555756936,0.07018552053925427
181,62,21542,10,441,145,0,Active seniors,1.1571821943923466,-1.1796520672765387
182,23,41677,8,207,26,3,Young occasional buyers,-1.5597732049345912,0.39312168823014704
183,45,66732,6,26,136,3,Young occasional buyers,-1.1205491152029934,0.8431361894049956
184,45,70343,6,152,303,1,At-risk big spenders,0.020821966721493022,0.16395789898012003
185,61,59081,8,254,232,1,At-risk big spenders,0.7358069301382497,-0.2388966476754327
186,61,82856,15,64,76,0,Active seniors,-0.9100272787556486,0.27352619642794246
187,37,113105,14,333,328,2,Frequent mid-spenders,0.5202364816609598,-0.04020452362964414
188,47,108858,11,268,345,2,Frequent mid-spenders,0.7359006043624704,0.16133970718162138
189,28,39065,12,50,302,2,Frequent mid-spenders,-1.5633585509708399,-1.026458489909718
190,45,103460,13,42,289,2,Frequent mid-spenders,-0.7584043455489132,0.2672676646816027
191,42,108092,8,445,1,0,Active seniors,0.5702931112216217,1.6258178820376448
192,56,74693,18,413,147,0,Active seniors,0.6693442599371007,-0.857972874665663
193,50,46962,1,179,287,1,At-risk big spenders,0.42385315142279806,0.22198592336906425
194,18,48295,15,382,142,3,Young occasional buyers,-0.8444353029238125,-0.8558991586547389
195,44,33807,8,456,53,0,Active seniors,0.4770564276253514,-0.2519769413793539
196,69,62348,11,177,304,1,At-risk big spenders,0.7157867731771843,-0.7428077985995657
197,30,46432,12,58,69,3,Young occasional buyers,-2.1041819225994165,-0.003129434040473777
198,58,103285,12,434,361,1,At-risk big spenders,1.9277969862068631,-0.3678330443080112
199,20,111792,4,101,90,3,Young occasional buyers,-1.451213500344556,2.304320732849115
200,56,77854,16,375,220,0,Active seniors,0.813163137495173,-0.7929736424085747
201,23,60262,4,277,192,3,Young occasional buyers,-0.42246532836061307,0.5700205459023628
202,25,57080,5,225,63,3,Young occasional buyers,-1.0588291945971173,0.9135410938923396
203,44,21324,5,96,73,3,Young occasional buyers,-1.1712231017339019,0.11273362177631527
204,26,111267,8,496,161,3,Young occasional buyers,0.7401946885557293,1.1239679753370508
205,54,55909,10,31,169,0,Active seniors,-0.9324740970599803,-0.03413665955323001
206,50,109339,17,314,89,0,Active seniors,0.013313077674336588,0.3835725007372975
207,68,39870,9,469,176,1,At-risk big spenders,1.7470156764447382,-0.8320493159064701
208,59,54578,19,243,269,2,Frequent mid-spenders,0.1375296535945816,-1.7204436113347783
209,61,92124,14,32,73,0,Active seniors,-0.9812294335465123,0.6400912650306273
210,41,46790,8,65,245,2,Frequent mid-spenders,-0.9487111430331563,-0.26257501183728094
211,32,45289,9,174,77,3,Young occasional buyers,-1.283159815166668,0.1547628074546373
212,49,75129,11,132,159,0,Active seniors,-0.59140686428495,0.23900958081059248
213,49,113714,1,252,324,1,At-risk big spenders,1.1977694490106692,1.5037614682372795
214,41,114246,14,36,98,0,Active seniors,-1.493687613983378,1.13958592025571
215,58,35485,5,379,102,0,Active seniors,0.900895193501768,-0.04670110131139937
216,69,64482,14,242,132,0,Active seniors,0.3896109144307213,-0.45962717287039667
217,66,106188,4,373,102,0,Active seniors,1.5646040747949617,1.6131978777724416
218,66,24748,1,207,19,0,Active seniors,0.23283118225586089,0.6228222726083059
219,69,106769,19,467,82,0,Active seniors,1.3236869429663978,-0.13456296751551233
220,29,29435,8,363,279,2,Frequent mid-spenders,0.12142132768675187,-1.0264030469870014
221,56,23709,15,384,339,2,Frequent mid-spenders,0.9885840911524095,-2.3456674155156376
222,19,50355,15,182,331,2,Frequent mid-spenders,-1.237115067198512,-1.3186642651423508
223,20,75771,9,345,129,3,Young occasional buyers,-0.5529527548245021,0.5243757501610122
224,66,77799,9,486,344,1,At-risk big spenders,2.448190070723751,-0.6242984938432522
225,54,33116,10,433,310,1,At-risk big spenders,1.3767421975872018,-1.4926017861467804
226,66,45470,9,474,89,0,Active seniors,1.4708890913715138,-0.37416521245386725
227,34,62344,3,93,213,3,Young occasional buyers,-0.8227562273976264,0.7868557010665236
228,66,62918,11,252,143,0,Active seniors,0.508854251140246,-0.18634044837850938
229,19,72224,6,243,65,3,Young occasional buyers,-1.1529430561898037,1.141907325015763
230,19,59298,2,338,76,3,Young occasional buyers,-0.5081657780378301,1.1721947053879267
231,45,100219,7,431,199,1,At-risk big spenders,1.2052349957991275,0.8182168728522433
232,40,81629,18,79,143,2,Frequent mid-spenders,-1.5489601137537563,-0.25778634817222446
233,54,86040,2,354,316,1,At-risk big spenders,1.6726351473983805,0.6686009317100192
234,49,119518,17,241,93,0,Active seniors,-0.32389518883175294,0.6771029240667936
235,50,119835,11,56,305,2,Frequent mid-spenders,-0.2777948961703713,0.7622860946154701
236,18,48016,12,496,224,2,Frequent mid-spenders,0.11819293719319121,-0.9449194298851045
237,36,43960,19,297,291,2,Frequent mid-spenders,-0.4066466103784605,-1.9778668610103012
238,19,53591,7,215,102,3,Young occasional buyers,-1.3277322503046387,0.5004257900937912
239,61,102848,6,423,267,1,At-risk big spenders,2.00474878323791,0.6613932225024556
240,43,87641,1,371,355,1,At-risk big spenders,1.5369860790035172,0.7115594897953081
241,49,56395,17,261,110,0,Active seniors,-0.4914002575864346,-0.8184633351012491
242,23,42700,11,343,330,2,Frequent mid-spenders,-0.1283386151637894,-1.2147142577181802
243,49,54620,18,238,265,2,Frequent mid-spenders,-0.2071574809748712,-1.5327007434727515
244,21,40559,17,211,3,3,Young occasional buyers,-2.1421878305309434,-0.5727471479118725
245,28,113045,7,36,85,3,Young occasional buyers,-1.6493643026764373,2.032853373176592
246,34,113396,17,31,282,2,Frequent mid-spenders,-1.3818557812740477,0.12458207681515346
247,55,81642,9,425,328,1,At-risk big spenders,1.7209330944361754,-0.35785602575515685
248,41,96539,17,420,304,2,Frequent mid-spenders,0.7913502454548358,-0.7757951199975163
249,22,41732,8,413,117,3,Young occasional buyers,-0.2977943584508299,-0.15740111959605552
250,69,111362,17,393,221,0,Active seniors,1.490354157338068,-0.24863192906464246
251,51,50354,7,212,154,0,Active seniors,-0.05671064070974733,0.06999137430771407
252,23,33843,1,41,153,3,Young occasional buyers,-1.6965422787961268,0.7164542908664826
253,39,91726,13,493,12,0,Active seniors,0.39858717319679876,0.6099530322888679
254,28,37640,19,139,133,2,Frequent mid-spenders,-1.98183840987665,-1.3184847771846318
255,65,72528,19,229,304,2,Frequent mid-spenders,0.4768868787978063,-1.4675163313606916
256,33,58413,17,325,293,2,Frequent mid-spenders,-0.19435850506310273,-1.4462976209996565
257,50,72638,13,289,300,2,Frequent mid-spenders,0.531395941079932,-0.7457595631448769
258,26,72736,16,211,228,2,Frequent mid-spenders,-1.0841378946549316,-0.6118269883248987
259,23,88866,8,194,271,3,Young occasional buyers,-0.662078489592151,0.5387557897786014
260,33,39087,19,304,43,0,Active seniors,-1.2378860496445896,-1.1447261121487318
261,46,61430,18,223,343,2,Frequent mid-spenders,-0.12456807838297926,-1.64309547171303
262,20,44504,1,183,326,3,Young occasional buyers,-0.5297319679535497,0.1711105759073915
263,37,27114,14,270,302,2,Frequent mid-spenders,-0.30391031264400925,-1.7986091185906596
264,53,98859,19,246,364,2,Frequent mid-spenders,0.4411836439564151,-1.0606171663918817
265,36,119657,15,455,21,0,Active seniors,0.16690475857616097,1.0256302335887628
266,43,30975,18,400,107,0,Active seniors,-0.20046283056480793,-1.6037015595352417
267,20,31023,2,479,336,1,At-risk big spenders,0.8587563342702788,-0.5905661901048974
268,36,41447,17,26,303,2,Frequent mid-spenders,-1.6349516054736417,-1.5676348851637554
269,37,110469,18,48,117,2,Frequent mid-spenders,-1.743180461250057,0.5324180166771212
270,49,43959,6,414,124,1,At-risk big spenders,0.8096050377282793,-0.04488787861811366
271,24,86203,19,52,281,2,Frequent mid-spenders,-1.877239637037066,-0.6792514005224374
272,69,49703,4,153,292,1,At-risk big spenders,0.8522141148375558,-0.15130455656984784
273,58,29337,1,386,203,1,At-risk big spenders,1.4068945574680374,-0.11228558948674411
274,50,66427,8,98,51,0,Active seniors,-0.9363643383420259,0.8259415443704067
275,57,81529,7,435,271,1,At-risk big spenders,1.7748881353801862,0.0632108366338224
276,56,104665,3,454,324,1,At-risk big spenders,2.310199416893084,0.8255288875809003
277,35,51921,10,478,277,1,At-risk big spenders,0.9164719500792208,-0.8966602889693728
278,57,53307,10,77,141,0,Active seniors,-0.6911664288632523,-0.05021124895968207
279,18,47355,19,490,275,2,Frequent mid-spenders,-0.11951298453238746,-1.9494487242974496
280,28,24835,14,45,290,2,Frequent mid-spenders,-1.7969763728769474,-1.5238058108123547
281,45,40159,2,449,334,1,At-risk big spenders,1.6462392869080766,-0.47687415399510735
282,42,67605,1,245,52,3,Young occasional buyers,-0.12544122188280282,1.5409166536950702
283,67,58088,18,304,27,0,Active seniors,0.08130151473155812,-0.7207167476895546
284,40,98752,7,23,157,3,Young occasional buyers,-1.1424407398994312,1.3937993186256845
285,48,75284,8,484,239,1,At-risk big spenders,1.5195880876434797,-0.07516410663123864
286,47,77043,1,118,156,3,Young occasional buyers,-0.2246336626775371,1.4664982458697045
287,59,55547,3,416,291,1,At-risk big spenders,1.883338598832258,-0.12394458324426913
288,52,117007,8,58,136,0,Active seniors,-0.5581498242438074,1.6675737526198628
289,24,102844,15,290,144,2,Frequent mid-spenders,-0.8079128683907414,0.42037758973435524
290,33,47532,5,394,106,3,Young occasional buyers,0.15105636386303015,0.3211021893879808
291,43,54349,3,304,158,3,Young occasional buyers,0.3504291936716135,0.5492808644533256
292,65,65445,19,176,146,0,Active seniors,-0.2909359744831729,-0.9757534175246984
293,69,25713,1,94,2,0,Active seniors,-0.2690113305331289,0.8104298380133789
294,66,76178,15,391,77,0,Active seniors,0.8709989095743348,-0.24545773504732823
295,19,69407,8,307,132,3,Young occasional buyers,-0.750897238060855,0.5303947746225088
296,18,90340,2,149,90,3,Young occasional buyers,-1.2898095093922162,2.014999326777572
297,65,70990,3,194,345,1,At-risk big spenders,1.2280711428495472,0.21775898429368434
298,29,95672,14,481,350,2,Frequent mid-spenders,0.9492757397030146,-0.6252462442005181
299,22,85545,14,103,263,2,Frequent mid-spenders,-1.4971916464784911,-0.09463075783516336
300,54,104791,11,41,351,2,Frequent mid-spenders,-0.14868072274641375,0.24778098574031587
301,49,78141,16,478,108,0,Active seniors,0.7460456822272894,-0.4357841444131612
302,26,43793,4,46,74,3,Young occasional buyers,-1.8999692632009644,0.87103438455591
303,58,76570,5,214,39,0,Active seniors,0.09758017017333437,1.280361491933661
304,52,115084,14,356,159,0,Active seniors,0.6831218667681139,0.538920933139183
305,36,57892,16,401,71,0,Active seniors,-0.31623988104178974,-0.6017257773664749
306,65,21015,18,255,312,2,Frequent mid-spenders,0.4218860940174508,-2.5611083505914727
307,33,81813,7,459,241,1,At-risk big spenders,0.9460372733452671,0.2816137302209217
308,20,47712,10,111,298,2,Frequent mid-spenders,-1.4127593342072582,-0.6105359183614031
309,37,28415,7,496,36,3,Young occasional buyers,0.3988290880616624,-0.1990427908410296
310,41,82292,1,40,84,3,Young occasional buyers,-1.01597813517472,1.967064119640552
311,50,43833,19,322,263,2,Frequent mid-spenders,0.13704995598593323,-1.973643451573083
312,41,24158,16,483,310,2,Frequent mid-spenders,0.8101046058353195,-2.3667254892403955
313,69,82680,19,376,172,0,Active seniors,1.0146040680826798,-0.9171686066422005
314,28,40309,4,462,173,3,Young occasional buyers,0.5237643084721786,-0.022641767913488823
315,66,26970,18,103,362,2,Frequent mid-spenders,-0.12299227579259078,-2.463357308629629
316,25,92474,2,281,47,3,Young occasional buyers,-0.49624290755626843,2.0511239979676366
317,53,106704,1,166,141,1,At-risk big spenders,0.3351489976462625,2.1049396617694014
318,55,66540,15,460,118,0,Active seniors,0.89350478449745,-0.6301519563910254
319,57,40384,5,472,277,1,At-risk big spenders,1.8718170031834078,-0.6877232900294884
320,37,38017,11,406,214,2,Frequent mid-spenders,0.3216593217964716,-1.020482881762733
321,52,95880,10,276,220,1,At-risk big spenders,0.5707686910991562,0.4226532254148939
322,65,28702,2,77,26,0,Active seniors,-0.4621098019731894,0.7103686648271387
323,42,20384,3,399,9,3,Young occasional buyers,0.17682903045431664,0.25759122309877686
324,52,20404,12,441,271,1,At-risk big spenders,1.0639685517449569,-1.8575405326877135
325,42,60943,5,34,10,3,Young occasional buyers,-1.5395596318010096,1.3102360585729937
326,46,67926,5,181,121,3,Young occasional buyers,-0.29859070167987056,0.8747635741468649
